"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
80,75,0.2,"TT",9.33078939675315
70,75,0.2,"TT",10.6019240426169
80,75,0.2,"TT",11.0814565663217
70,75,0.2,"TT",10.3789065130957
80,75,0.2,"TT",10.8396085415586
70,75,0.2,"TT",9.84659391028216
80,75,0.2,"TT",11.7220554529703
70,75,0.2,"TT",10.0091718034875
80,75,0.2,"TT",9.66045894356876
70,75,0.2,"TT",11.1908621133993
80,75,0.2,"TT",11.3243045269599
70,75,0.2,"TT",11.3735662976507
80,75,0.2,"TT",8.51782173508915
70,75,0.2,"TT",11.4168620506347
80,75,0.2,"TT",10.2811250470426
70,75,0.2,"TT",11.7081856120447
80,75,0.2,"TT",10.7292434596736
70,75,0.2,"TT",10.9545087023421
80,75,0.2,"TT",9.92637555251263
70,75,0.2,"TT",9.64118585868791
80,75,0.2,"TT",9.37661724569185
70,75,0.2,"TT",10.3649938130313
80,75,0.2,"TT",8.69011679129297
70,75,0.2,"TT",10.7592875182015
80,75,0.2,"TT",10.3608862387492
70,75,0.2,"TT",11.3196993687652
80,75,0.2,"TT",9.74224142766143
70,75,0.2,"TT",10.6437564887616
80,75,0.2,"TT",10.9831515472352
70,75,0.2,"TT",8.71157686606363
80,75,0.2,"TT",11.6464789126199
70,75,0.2,"TT",10.4225573494486
80,75,0.2,"TT",11.4888430546133
70,75,0.2,"TT",8.06071420995881
80,75,0.2,"TT",10.6593278662623
70,75,0.2,"TT",9.05408901094295
80,75,0.2,"TT",9.88003500674159
70,75,0.2,"TT",9.72721493459698
80,75,0.2,"TT",9.75294939781154
70,75,0.2,"TT",11.3140760348972
80,75,0.2,"TT",9.60924194471046
70,75,0.2,"TT",9.6187340080812
80,75,0.2,"TT",10.6535700841607
70,75,0.2,"TT",9.68994301167658
80,75,0.2,"TT",11.2431227967168
70,75,0.2,"TT",11.4755516763311
80,75,0.2,"TT",9.85583218436151
70,75,0.2,"TT",10.0126215984398
80,75,0.2,"TT",10.2334973324889
70,75,0.2,"TT",11.2386887419936
80,75,0.2,"TT",11.0287563059933
70,75,0.2,"TT",10.2805983639401
80,75,0.2,"TT",12.467230994455
70,75,0.2,"TT",9.68504453602613
80,75,0.2,"TT",10.6100121020271
70,75,0.2,"TT",12.1089232998518
80,75,0.2,"TT",10.5286913358342
70,75,0.2,"TT",12.3434874834544
80,75,0.2,"TT",10.5242516762618
70,75,0.2,"TT",9.58180335615329
80,75,0.2,"TT",9.60945457440216
70,75,0.2,"TT",10.2280293032419
80,75,0.2,"TT",11.9738153324296
70,75,0.2,"TT",12.4877861413903
80,75,0.2,"TT",10.7013451390175
70,75,0.2,"TT",13.1835795691008
80,75,0.2,"TT",10.6408244902481
70,75,0.2,"TT",11.8502654212505
80,75,0.2,"TT",10.7174031717038
70,75,0.2,"TT",11.1102034686966
80,75,0.2,"TT",10.2554302530673
70,75,0.2,"TT",10.089151345699
80,75,0.2,"TT",12.6135789828682
70,75,0.2,"TT",10.3464901892922
80,75,0.2,"TT",10.7552967781566
70,75,0.2,"TT",11.1031306968293
80,75,0.2,"TT",8.9195931243704
70,75,0.2,"TT",10.4069286603558
80,75,0.2,"TT",9.77799782490915
70,75,0.2,"TT",12.5156765090661
80,75,0.2,"TT",9.05138120859281
70,75,0.2,"TT",8.90837198225591
80,75,0.2,"TT",9.85076222900778
70,75,0.2,"TT",10.4644946555132
80,75,0.2,"TT",10.9115133251973
70,75,0.2,"TT",9.82660888762906
80,75,0.2,"TT",11.9006138610314
70,75,0.2,"TT",12.0229649493283
80,75,0.2,"TT",9.61994304636723
70,75,0.2,"TT",11.1663028029486
80,75,0.2,"TT",11.0968450389509
70,75,0.2,"TT",9.2521035499946
80,75,0.2,"TT",9.98523636209838
70,75,0.2,"TT",10.1800933492278
80,75,0.2,"TT",10.3327224101045
70,75,0.2,"TT",12.9575068791859
80,75,0.2,"TT",10.6270693827743
70,75,0.2,"TT",9.90977013315098
80,75,0.2,"TT",8.77831511083588
70,75,0.2,"TT",10.9790615352201
80,75,0.2,"TT",10.0336147658987
70,75,0.2,"TT",11.8537408670184
80,75,0.2,"TT",8.47180365971012
70,75,0.2,"TT",10.3111515720644
80,75,0.2,"TT",12.2346523049888
70,75,0.2,"TT",9.16187709301509
80,75,0.2,"TT",9.83912689666603
70,75,0.2,"TT",10.3219330685825
80,75,0.2,"TT",9.42772290415092
70,75,0.2,"TT",10.6058721410866
80,75,0.2,"TT",10.9304353777046
70,75,0.2,"TT",10.614415698538
80,75,0.2,"TT",9.08814091599295
70,75,0.2,"TT",9.23414287306251
80,75,0.2,"TT",10.2969366831082
70,75,0.2,"TT",10.2381044595588
80,75,0.2,"TT",8.20089650146341
70,75,0.2,"TT",9.57187817858521
80,75,0.2,"TT",7.38762497904789
70,75,0.2,"TT",10.9994411335042
80,75,0.2,"TT",10.8542739475599
70,75,0.2,"TT",9.81593364628486
80,75,0.2,"TT",9.44699265267612
70,75,0.2,"TT",10.4758705715543
80,75,0.2,"TT",12.3983533018507
70,75,0.2,"TT",9.96503384620279
80,75,0.2,"TT",10.2524356067806
70,75,0.2,"TT",11.4107981693172
80,75,0.2,"TT",12.6821701341902
70,75,0.2,"TT",9.08704793973642
80,75,0.2,"TT",8.46143692197783
70,75,0.2,"TT",13.1139961493926
80,75,0.2,"TT",10.355987010606
70,75,0.2,"TT",9.60138422719167
80,75,0.2,"TT",10.8917709232711
70,75,0.2,"TT",11.0410126640678
80,75,0.2,"TT",7.52897693561339
70,75,0.2,"TT",11.2147970790298
80,75,0.2,"TT",11.5375097304894
70,75,0.2,"TT",11.2610978677057
80,75,0.2,"TT",11.2979314309626
70,75,0.2,"TT",9.406065229173
80,75,0.2,"TT",10.4165704052359
70,75,0.2,"TT",9.86079689995617
80,75,0.2,"TT",11.2657891797252
70,75,0.2,"TT",9.14399162626759
80,75,0.2,"TT",9.95159857655189
70,75,0.2,"TT",9.80144005755254
80,75,0.2,"TT",11.9915213924865
70,75,0.2,"TT",10.8828384047485
80,75,0.2,"TT",10.1324222592133
